,0,1,2
0,862.0,352.0,0.0
1,271.0,2.0,1.0
2,552.0,324.0,0.0
3,171.0,66.0,1.0
4,462.0,237.0,0.0
5,118.0,0.0,1.0
6,139.0,166.0,0.0
7,151.0,373.0,1.0
8,2.0,142.0,1.0
9,12.0,220.0,1.0
10,200.0,9.0,1.0
11,122.0,354.0,0.0
12,656.0,212.0,0.0
13,269.0,198.0,0.0
14,42.0,73.0,1.0
15,866.0,75.0,0.0
16,548.0,254.0,0.0
17,0.0,91.0,1.0
18,7.0,70.0,1.0
19,261.0,136.0,1.0
20,550.0,377.0,1.0
21,206.0,426.0,0.0
22,28.0,452.0,0.0
23,480.0,6.0,0.0
24,681.0,257.0,0.0
25,761.0,369.0,0.0
26,222.0,257.0,0.0
27,14.0,5.0,1.0
28,9.0,220.0,1.0
29,369.0,336.0,1.0
30,252.0,267.0,0.0
31,318.0,82.0,1.0
32,713.0,195.0,0.0
33,261.0,15.0,1.0
34,12.0,81.0,1.0
35,57.0,85.0,1.0
36,225.0,398.0,0.0
37,240.0,21.0,1.0
38,810.0,159.0,0.0
39,18.0,145.0,1.0
40,3.0,89.0,1.0
41,664.0,1.0,1.0
42,189.0,0.0,1.0
43,386.0,363.0,0.0
44,483.0,333.0,0.0
45,382.0,39.0,0.0
46,211.0,22.0,1.0
47,33.0,56.0,0.0
48,117.0,261.0,0.0
49,691.0,238.0,0.0
50,2.0,144.0,1.0
51,149.0,2.0,1.0
52,787.0,374.0,0.0
53,52.0,159.0,0.0
54,10.0,83.0,1.0
55,205.0,5.0,1.0
56,314.0,209.0,0.0
57,66.0,265.0,0.0
58,708.0,179.0,0.0
59,517.0,77.0,0.0
60,204.0,427.0,0.0
61,866.0,192.0,1.0
62,293.0,8.0,1.0
63,88.0,85.0,1.0
64,91.0,88.0,1.0
65,200.0,0.0,0.0
66,683.0,350.0,0.0
67,84.0,132.0,1.0
68,3.0,33.0,1.0
69,703.0,11.0,0.0
70,3.0,75.0,1.0
71,749.0,322.0,0.0
72,9.0,285.0,0.0
73,599.0,161.0,0.0
74,274.0,15.0,1.0
75,714.0,52.0,1.0
76,256.0,195.0,1.0
77,21.0,143.0,1.0
78,22.0,175.0,1.0
79,7.0,63.0,1.0
80,331.0,293.0,1.0
81,230.0,417.0,0.0
82,2.0,112.0,1.0
83,314.0,147.0,0.0
84,62.0,258.0,0.0
85,201.0,241.0,0.0
86,568.0,232.0,0.0
87,62.0,25.0,1.0
88,78.0,84.0,1.0
89,100.0,151.0,0.0
90,27.0,196.0,0.0
91,120.0,26.0,1.0
92,46.0,15.0,1.0
93,235.0,18.0,1.0
