,0,1,2
0,83.0,374.0,1.0
1,147.0,50.0,1.0
2,152.0,298.0,0.0
3,296.0,116.0,0.0
4,585.0,41.0,1.0
5,118.0,55.0,1.0
6,202.0,211.0,0.0
7,601.0,334.0,0.0
8,866.0,141.0,0.0
9,646.0,135.0,1.0
10,531.0,380.0,0.0
11,840.0,173.0,0.0
12,764.0,316.0,0.0
13,301.0,183.0,1.0
14,101.0,18.0,1.0
15,9.0,213.0,1.0
16,368.0,41.0,1.0
17,11.0,81.0,1.0
18,237.0,152.0,1.0
19,243.0,118.0,1.0
20,400.0,284.0,0.0
21,127.0,0.0,1.0
22,758.0,425.0,0.0
23,1.0,13.0,1.0
24,501.0,83.0,0.0
25,797.0,402.0,0.0
26,706.0,313.0,0.0
27,743.0,1.0,1.0
28,702.0,12.0,1.0
29,618.0,1.0,1.0
30,199.0,61.0,1.0
31,10.0,149.0,1.0
32,164.0,140.0,1.0
33,19.0,102.0,0.0
34,396.0,65.0,1.0
35,528.0,449.0,0.0
36,78.0,49.0,0.0
37,99.0,65.0,1.0
38,165.0,1.0,1.0
39,6.0,285.0,1.0
40,274.0,340.0,0.0
41,848.0,327.0,0.0
42,22.0,58.0,1.0
43,344.0,316.0,0.0
44,718.0,66.0,0.0
45,364.0,228.0,0.0
46,78.0,16.0,1.0
47,142.0,127.0,0.0
48,7.0,174.0,0.0
49,295.0,20.0,0.0
50,454.0,120.0,0.0
51,32.0,226.0,1.0
52,7.0,11.0,1.0
53,207.0,444.0,0.0
54,558.0,274.0,0.0
55,851.0,114.0,0.0
56,270.0,306.0,0.0
57,15.0,249.0,1.0
58,157.0,244.0,0.0
59,395.0,2.0,1.0
60,187.0,81.0,0.0
61,42.0,169.0,1.0
62,192.0,1.0,1.0
63,252.0,79.0,1.0
64,643.0,94.0,1.0
65,98.0,289.0,0.0
66,431.0,219.0,0.0
67,268.0,7.0,1.0
68,80.0,21.0,1.0
69,490.0,143.0,0.0
70,376.0,7.0,1.0
71,191.0,258.0,0.0
72,171.0,10.0,1.0
73,575.0,406.0,1.0
74,105.0,71.0,1.0
75,884.0,143.0,0.0
76,489.0,30.0,1.0
77,720.0,330.0,0.0
78,282.0,220.0,0.0
79,449.0,427.0,0.0
80,645.0,356.0,0.0
81,143.0,8.0,0.0
82,284.0,18.0,1.0
83,214.0,284.0,0.0
84,628.0,124.0,0.0
85,432.0,189.0,0.0
86,187.0,9.0,1.0
87,203.0,39.0,1.0
88,82.0,160.0,0.0
89,208.0,12.0,0.0
90,447.0,433.0,0.0
91,725.0,177.0,0.0
92,19.0,88.0,1.0
93,100.0,401.0,1.0
94,79.0,21.0,1.0
95,432.0,172.0,0.0
96,147.0,302.0,0.0
97,766.0,226.0,0.0
98,596.0,331.0,0.0
99,40.0,167.0,0.0
100,619.0,313.0,0.0
101,228.0,64.0,0.0
102,320.0,3.0,1.0
103,5.0,32.0,1.0
104,421.0,288.0,0.0
105,183.0,21.0,1.0
106,23.0,53.0,1.0
107,1.0,2.0,1.0
108,513.0,129.0,0.0
109,726.0,35.0,1.0
110,62.0,49.0,0.0
111,172.0,77.0,0.0
112,223.0,39.0,0.0
113,0.0,189.0,1.0
114,864.0,159.0,0.0
115,307.0,22.0,0.0
116,751.0,120.0,0.0
117,411.0,82.0,1.0
118,228.0,427.0,0.0
119,547.0,244.0,1.0
120,167.0,255.0,0.0
121,508.0,100.0,1.0
122,45.0,167.0,0.0
123,41.0,163.0,1.0
124,390.0,341.0,0.0
125,522.0,246.0,0.0
126,657.0,137.0,0.0
127,230.0,221.0,0.0
128,341.0,148.0,0.0
129,376.0,382.0,0.0
130,102.0,42.0,1.0
131,36.0,14.0,0.0
132,696.0,447.0,0.0
133,57.0,360.0,0.0
134,242.0,230.0,1.0
135,853.0,159.0,0.0
136,361.0,31.0,1.0
137,818.0,439.0,0.0
138,412.0,150.0,0.0
139,233.0,3.0,1.0
140,116.0,322.0,0.0
141,701.0,94.0,1.0
142,163.0,415.0,0.0
143,0.0,75.0,1.0
144,539.0,395.0,0.0
145,282.0,2.0,1.0
146,247.0,149.0,1.0
147,210.0,179.0,1.0
148,29.0,131.0,1.0
149,445.0,254.0,1.0
150,139.0,339.0,0.0
151,851.0,234.0,0.0
152,304.0,52.0,0.0
153,109.0,251.0,0.0
154,266.0,1.0,1.0
155,207.0,381.0,1.0
156,38.0,378.0,0.0
157,240.0,28.0,1.0
158,2.0,51.0,1.0
159,291.0,194.0,1.0
160,424.0,243.0,0.0
161,583.0,1.0,1.0
162,257.0,134.0,0.0
163,641.0,74.0,0.0
164,4.0,51.0,1.0
165,6.0,206.0,1.0
166,7.0,32.0,1.0
167,421.0,6.0,1.0
168,487.0,379.0,0.0
169,724.0,361.0,0.0
170,868.0,177.0,0.0
171,6.0,12.0,1.0
172,475.0,304.0,1.0
173,617.0,112.0,0.0
174,332.0,7.0,1.0
175,202.0,2.0,1.0
176,838.0,72.0,0.0
177,15.0,153.0,1.0
178,60.0,397.0,0.0
179,118.0,36.0,1.0
180,851.0,103.0,1.0
181,176.0,52.0,1.0
182,297.0,21.0,1.0
183,352.0,13.0,0.0
184,472.0,55.0,0.0
185,423.0,331.0,0.0
186,827.0,173.0,0.0
187,695.0,336.0,0.0
188,109.0,129.0,1.0
189,874.0,275.0,0.0
190,581.0,93.0,1.0
191,569.0,14.0,1.0
192,216.0,6.0,1.0
193,3.0,51.0,1.0
194,516.0,45.0,1.0
195,55.0,182.0,1.0
196,161.0,73.0,1.0
197,812.0,251.0,0.0
198,279.0,3.0,1.0
199,812.0,365.0,0.0
200,425.0,40.0,1.0
201,537.0,105.0,1.0
202,401.0,6.0,1.0
203,191.0,145.0,0.0
204,874.0,276.0,0.0
205,493.0,204.0,0.0
206,314.0,51.0,0.0
207,821.0,393.0,0.0
208,532.0,1.0,1.0
209,248.0,102.0,1.0
210,21.0,318.0,0.0
211,1.0,6.0,1.0
212,480.0,392.0,0.0
213,17.0,127.0,1.0
214,726.0,406.0,0.0
215,793.0,174.0,0.0
216,305.0,320.0,0.0
217,11.0,72.0,1.0
218,408.0,373.0,0.0
219,527.0,393.0,0.0
220,214.0,187.0,1.0
221,433.0,31.0,1.0
222,282.0,359.0,0.0
223,809.0,195.0,0.0
224,450.0,67.0,1.0
225,504.0,240.0,1.0
226,262.0,423.0,0.0
227,103.0,79.0,1.0
228,2.0,4.0,1.0
229,300.0,3.0,1.0
230,683.0,251.0,1.0
231,728.0,268.0,0.0
232,392.0,2.0,1.0
233,700.0,447.0,0.0
234,255.0,8.0,0.0
235,758.0,280.0,0.0
236,227.0,210.0,1.0
