,0,1,2
0,116.0,14.0,1.0
1,424.0,12.0,1.0
2,114.0,373.0,0.0
3,358.0,0.0,1.0
4,222.0,224.0,0.0
5,683.0,335.0,0.0
6,798.0,257.0,0.0
7,98.0,289.0,0.0
8,9.0,285.0,0.0
9,568.0,243.0,0.0
10,360.0,4.0,0.0
11,487.0,8.0,1.0
12,121.0,137.0,0.0
13,698.0,375.0,0.0
14,8.0,432.0,1.0
15,254.0,361.0,0.0
16,8.0,451.0,1.0
17,371.0,369.0,0.0
18,120.0,30.0,1.0
19,388.0,90.0,1.0
20,70.0,86.0,1.0
21,667.0,27.0,0.0
22,73.0,66.0,1.0
23,458.0,123.0,0.0
24,7.0,3.0,1.0
25,30.0,42.0,1.0
26,288.0,0.0,1.0
27,36.0,27.0,1.0
28,287.0,401.0,0.0
29,0.0,112.0,1.0
30,466.0,128.0,0.0
31,811.0,161.0,0.0
32,759.0,171.0,1.0
33,502.0,445.0,1.0
34,402.0,143.0,0.0
35,167.0,11.0,1.0
36,42.0,306.0,0.0
37,101.0,148.0,0.0
38,766.0,261.0,0.0
39,361.0,31.0,1.0
40,53.0,362.0,0.0
41,455.0,77.0,0.0
42,371.0,4.0,1.0
43,7.0,56.0,1.0
44,43.0,279.0,1.0
45,687.0,198.0,0.0
46,161.0,35.0,1.0
47,27.0,234.0,1.0
48,797.0,402.0,0.0
49,13.0,190.0,0.0
50,15.0,220.0,0.0
51,655.0,338.0,0.0
52,827.0,173.0,0.0
53,385.0,1.0,1.0
54,33.0,95.0,1.0
55,2.0,144.0,1.0
56,366.0,281.0,1.0
57,289.0,169.0,0.0
58,259.0,185.0,0.0
59,520.0,89.0,0.0
60,6.0,144.0,1.0
61,709.0,358.0,0.0
62,783.0,339.0,0.0
63,228.0,427.0,0.0
64,646.0,39.0,0.0
65,3.0,3.0,1.0
66,553.0,228.0,0.0
67,149.0,340.0,0.0
68,443.0,74.0,0.0
69,352.0,15.0,0.0
70,754.0,8.0,1.0
71,90.0,38.0,1.0
72,187.0,2.0,1.0
73,4.0,96.0,1.0
74,796.0,209.0,0.0
75,241.0,3.0,1.0
76,526.0,221.0,0.0
77,24.0,292.0,1.0
78,7.0,87.0,1.0
79,175.0,347.0,0.0
80,343.0,151.0,0.0
81,37.0,358.0,1.0
82,281.0,6.0,1.0
83,87.0,21.0,0.0
84,406.0,308.0,0.0
85,2.0,87.0,1.0
86,113.0,45.0,1.0
87,455.0,209.0,0.0
88,164.0,37.0,1.0
89,402.0,326.0,0.0
90,501.0,83.0,0.0
91,349.0,312.0,1.0
92,63.0,11.0,1.0
93,460.0,16.0,1.0
94,2.0,110.0,1.0
95,854.0,288.0,1.0
96,6.0,32.0,1.0
97,562.0,275.0,0.0
98,320.0,451.0,0.0
99,28.0,141.0,1.0
