,0,1,2
0,87.0,60.0,0.0
1,83.0,349.0,1.0
2,882.0,384.0,0.0
3,560.0,14.0,1.0
4,174.0,56.0,0.0
5,414.0,102.0,1.0
6,885.0,47.0,1.0
7,574.0,395.0,0.0
8,419.0,251.0,0.0
9,7.0,26.0,0.0
10,90.0,121.0,1.0
11,754.0,8.0,1.0
12,278.0,22.0,1.0
13,169.0,66.0,1.0
14,683.0,86.0,0.0
15,59.0,12.0,1.0
16,234.0,21.0,1.0
17,10.0,234.0,0.0
18,708.0,152.0,1.0
19,2.0,43.0,1.0
20,123.0,278.0,0.0
21,161.0,443.0,0.0
22,32.0,205.0,1.0
23,262.0,279.0,0.0
24,222.0,1.0,1.0
25,795.0,47.0,1.0
26,619.0,313.0,0.0
27,816.0,312.0,0.0
28,203.0,10.0,1.0
29,434.0,231.0,1.0
30,9.0,220.0,1.0
31,12.0,106.0,0.0
32,769.0,95.0,0.0
33,124.0,29.0,1.0
34,742.0,373.0,0.0
35,58.0,133.0,0.0
36,194.0,37.0,1.0
37,3.0,144.0,1.0
38,12.0,220.0,1.0
39,176.0,402.0,0.0
40,186.0,280.0,1.0
41,83.0,322.0,0.0
42,555.0,263.0,0.0
43,0.0,50.0,1.0
44,302.0,268.0,1.0
45,449.0,219.0,1.0
46,353.0,358.0,0.0
47,491.0,453.0,0.0
48,384.0,403.0,0.0
49,566.0,236.0,0.0
50,639.0,353.0,0.0
51,697.0,152.0,0.0
52,3.0,43.0,1.0
53,564.0,4.0,1.0
54,324.0,320.0,0.0
55,887.0,113.0,0.0
56,76.0,49.0,1.0
57,130.0,190.0,1.0
58,549.0,39.0,0.0
59,157.0,244.0,0.0
60,440.0,3.0,1.0
61,73.0,438.0,0.0
62,23.0,19.0,1.0
63,0.0,294.0,1.0
64,559.0,29.0,0.0
65,450.0,151.0,1.0
66,291.0,444.0,0.0
67,8.0,302.0,1.0
68,16.0,143.0,1.0
69,326.0,143.0,0.0
70,378.0,2.0,1.0
